chrom	length	bases	mean	min	max
chr1	248956422	317344792	1.27	0	2091
chr10	133797422	174969728	1.31	0	247
chr11	135086622	172798753	1.28	0	28
chr11_KI270721v1_random	100316	74259	0.74	0	4
chr12	133275309	169796232	1.27	0	191
chr13	114364328	123518118	1.08	0	734
chr14	107043718	111427984	1.04	0	36
chr14_GL000009v2_random	201709	577719	2.86	0	11
chr14_GL000225v1_random	211173	4700071	22.26	0	142
chr14_KI270722v1_random	194050	354725	1.83	0	9
chr14_GL000194v1_random	191469	562817	2.94	0	10
chr14_KI270723v1_random	38115	57449	1.51	0	7
chr14_KI270724v1_random	39555	98421	2.49	0	14
chr14_KI270725v1_random	172810	299864	1.74	0	8
chr14_KI270726v1_random	43739	16433	0.38	0	3
chr15	101991189	108566631	1.06	0	35
chr15_KI270727v1_random	448248	237093	0.53	0	7
chr16	90338345	123768945	1.37	0	2017
chr16_KI270728v1_random	1872759	2171148	1.16	0	13
chr17	83257441	103335655	1.24	0	237
chr17_GL000205v2_random	185591	772466	4.16	0	19
chr17_KI270729v1_random	280839	1154429	4.11	0	147
chr17_KI270730v1_random	112551	378101	3.36	0	25
chr18	80373285	100261553	1.25	0	233
chr19	58617616	75945532	1.30	0	145
chr1_KI270706v1_random	175055	315932	1.80	0	8
chr1_KI270707v1_random	32032	23236	0.73	0	4
chr1_KI270708v1_random	127682	117724	0.92	0	4
chr1_KI270709v1_random	66860	1654621	24.75	0	206
chr1_KI270710v1_random	40176	56910	1.42	0	6
chr1_KI270711v1_random	42210	161360	3.82	0	17
chr1_KI270712v1_random	176043	164536	0.93	0	14
chr1_KI270713v1_random	40745	78709	1.93	0	10
chr1_KI270714v1_random	41717	65777	1.58	0	6
chr2	242193529	309307383	1.28	0	155
chr20	64444167	86575114	1.34	0	253
chr21	46709983	59416889	1.27	0	346
chr22	50818468	56350104	1.11	0	740
chr22_KI270731v1_random	150754	249929	1.66	0	20
chr22_KI270732v1_random	41543	136378	3.28	0	8
chr22_KI270733v1_random	179772	2713576	15.09	0	113
chr22_KI270734v1_random	165050	505594	3.06	0	303
chr22_KI270735v1_random	42811	180622	4.22	0	24
chr22_KI270736v1_random	181920	2130646	11.71	0	62
chr22_KI270737v1_random	103838	80502	0.78	0	5
chr22_KI270738v1_random	99375	134766	1.36	0	7
chr22_KI270739v1_random	73985	12981	0.18	0	2
chr2_KI270715v1_random	161471	259119	1.60	0	8
chr2_KI270716v1_random	153799	551749	3.59	0	31
chr3	198295559	254132297	1.28	0	2757
chr3_GL000221v1_random	155397	395705	2.55	0	12
chr4	190214555	260799514	1.37	0	1164
chr4_GL000008v2_random	209709	752292	3.59	0	84
chr5	181538259	231594969	1.28	0	960
chr5_GL000208v1_random	92689	332452	3.59	0	28
chr6	170805979	213038166	1.25	0	116
chr7	159345973	202229276	1.27	0	52
chr8	145138636	181908050	1.25	0	96
chr9	138394717	155879552	1.13	0	48
chr9_KI270717v1_random	40062	85039	2.12	0	6
chr9_KI270718v1_random	38054	72190	1.90	0	9
chr9_KI270719v1_random	176845	374085	2.12	0	12
chr9_KI270720v1_random	39050	101911	2.61	0	9
chr1_KI270762v1_alt	354444	388588	1.10	0	14
chr1_KI270766v1_alt	256271	211412	0.82	0	5
chr1_KI270760v1_alt	109528	41988	0.38	0	2
chr1_KI270765v1_alt	185285	152668	0.82	0	5
chr1_GL383518v1_alt	182439	121048	0.66	0	4
chr1_GL383519v1_alt	110268	33516	0.30	0	3
chr1_GL383520v2_alt	366580	274235	0.75	0	5
chr1_KI270764v1_alt	50258	16749	0.33	0	4
chr1_KI270763v1_alt	911658	655051	0.72	0	7
chr1_KI270759v1_alt	425601	237021	0.56	0	6
chr1_KI270761v1_alt	165834	127796	0.77	0	5
chr2_KI270770v1_alt	136240	43957	0.32	0	2
chr2_KI270773v1_alt	70887	38036	0.54	0	3
chr2_KI270774v1_alt	223625	102438	0.46	0	3
chr2_KI270769v1_alt	120616	58322	0.48	0	4
chr2_GL383521v1_alt	143390	111677	0.78	0	6
chr2_KI270772v1_alt	133041	575018	4.32	0	35
chr2_KI270775v1_alt	138019	51733	0.37	0	3
chr2_KI270771v1_alt	110395	80928	0.73	0	4
chr2_KI270768v1_alt	110099	73286	0.67	0	4
chr2_GL582966v2_alt	96131	32670	0.34	0	4
chr2_GL383522v1_alt	123821	99711	0.81	0	6
chr2_KI270776v1_alt	174166	79720	0.46	0	3
chr2_KI270767v1_alt	161578	135033	0.84	0	5
chr3_JH636055v2_alt	173151	121905	0.70	0	3
chr3_KI270783v1_alt	109187	79339	0.73	0	5
chr3_KI270780v1_alt	224108	129777	0.58	0	4
chr3_GL383526v1_alt	180671	102492	0.57	0	3
chr3_KI270777v1_alt	173649	178010	1.03	0	5
chr3_KI270778v1_alt	248252	130272	0.52	0	4
chr3_KI270781v1_alt	113034	91254	0.81	0	6
chr3_KI270779v1_alt	205312	61991	0.30	0	3
chr3_KI270782v1_alt	162429	83147	0.51	0	4
chr3_KI270784v1_alt	184404	138744	0.75	0	20
chr4_KI270790v1_alt	220246	205667	0.93	0	5
chr4_GL383528v1_alt	376187	200718	0.53	0	4
chr4_KI270787v1_alt	111943	84479	0.75	0	6
chr4_GL000257v2_alt	586476	329580	0.56	0	5
chr4_KI270788v1_alt	158965	172168	1.08	0	5
chr4_GL383527v1_alt	164536	127789	0.78	0	5
chr4_KI270785v1_alt	119912	91796	0.77	0	6
chr4_KI270789v1_alt	205944	92614	0.45	0	4
chr4_KI270786v1_alt	244096	44907	0.18	0	10
chr5_KI270793v1_alt	126136	70565	0.56	0	4
chr5_KI270792v1_alt	179043	152166	0.85	0	6
chr5_KI270791v1_alt	195710	162940	0.83	0	5
chr5_GL383532v1_alt	82728	42234	0.51	0	3
chr5_GL949742v1_alt	226852	140407	0.62	0	4
chr5_KI270794v1_alt	164558	68086	0.41	0	3
chr5_GL339449v2_alt	1612928	971388	0.60	0	7
chr5_GL383530v1_alt	101241	100878	1.00	0	5
chr5_KI270796v1_alt	172708	65779	0.38	0	3
chr5_GL383531v1_alt	173459	120429	0.69	0	4
chr5_KI270795v1_alt	131892	49800	0.38	0	4
chr6_GL000250v2_alt	4672374	364909	0.08	0	4
chr6_KI270800v1_alt	175808	58282	0.33	0	4
chr6_KI270799v1_alt	152148	31191	0.21	0	3
chr6_GL383533v1_alt	124736	93313	0.75	0	5
chr6_KI270801v1_alt	870480	535104	0.61	0	6
chr6_KI270802v1_alt	75005	63480	0.85	0	4
chr6_KB021644v2_alt	185823	98134	0.53	0	3
chr6_KI270797v1_alt	197536	133314	0.67	0	4
chr6_KI270798v1_alt	271782	163108	0.60	0	6
chr7_KI270804v1_alt	157952	73285	0.46	0	3
chr7_KI270809v1_alt	209586	111402	0.53	0	4
chr7_KI270806v1_alt	158166	68742	0.43	0	4
chr7_GL383534v2_alt	119183	36172	0.30	0	3
chr7_KI270803v1_alt	1111570	725724	0.65	0	7
chr7_KI270808v1_alt	271455	195067	0.72	0	6
chr7_KI270807v1_alt	126434	71253	0.56	0	3
chr7_KI270805v1_alt	209988	177027	0.84	0	4
chr8_KI270818v1_alt	145606	70833	0.49	0	3
chr8_KI270812v1_alt	282736	203049	0.72	0	5
chr8_KI270811v1_alt	292436	102823	0.35	0	3
chr8_KI270821v1_alt	985506	877154	0.89	0	7
chr8_KI270813v1_alt	300230	333693	1.11	0	8
chr8_KI270822v1_alt	624492	492293	0.79	0	7
chr8_KI270814v1_alt	141812	131287	0.93	0	5
chr8_KI270810v1_alt	374415	310469	0.83	0	6
chr8_KI270819v1_alt	133535	62295	0.47	0	3
chr8_KI270820v1_alt	36640	11960	0.33	0	2
chr8_KI270817v1_alt	158983	45816	0.29	0	3
chr8_KI270816v1_alt	305841	166461	0.54	0	3
chr8_KI270815v1_alt	132244	88090	0.67	0	4
chr9_GL383539v1_alt	162988	94833	0.58	0	3
chr9_GL383540v1_alt	71551	18010	0.25	0	2
chr9_GL383541v1_alt	171286	89255	0.52	0	3
chr9_GL383542v1_alt	60032	28124	0.47	0	3
chr9_KI270823v1_alt	439082	255337	0.58	0	4
chr10_GL383545v1_alt	179254	88770	0.50	0	5
chr10_KI270824v1_alt	181496	139910	0.77	0	6
chr10_GL383546v1_alt	309802	125552	0.41	0	3
chr10_KI270825v1_alt	188315	98862	0.52	0	4
chr11_KI270832v1_alt	210133	209454	1.00	0	6
chr11_KI270830v1_alt	177092	111034	0.63	0	8
chr11_KI270831v1_alt	296895	86849	0.29	0	4
chr11_KI270829v1_alt	204059	132198	0.65	0	4
chr11_GL383547v1_alt	154407	111800	0.72	0	5
chr11_JH159136v1_alt	200998	102155	0.51	0	4
chr11_JH159137v1_alt	191409	139781	0.73	0	4
chr11_KI270827v1_alt	67707	69841	1.03	0	5
chr11_KI270826v1_alt	186169	73793	0.40	0	3
chr12_GL877875v1_alt	167313	143157	0.86	0	5
chr12_GL877876v1_alt	408271	166874	0.41	0	5
chr12_KI270837v1_alt	40090	23030	0.57	0	2
chr12_GL383549v1_alt	120804	68894	0.57	0	3
chr12_KI270835v1_alt	238139	101134	0.42	0	3
chr12_GL383550v2_alt	169178	192736	1.14	0	6
chr12_GL383552v1_alt	138655	90395	0.65	0	4
chr12_GL383553v2_alt	152874	72783	0.48	0	4
chr12_KI270834v1_alt	119498	52971	0.44	0	5
chr12_GL383551v1_alt	184319	150365	0.82	0	6
chr12_KI270833v1_alt	76061	39396	0.52	0	5
chr12_KI270836v1_alt	56134	54429	0.97	0	5
chr13_KI270840v1_alt	191684	133130	0.69	0	5
chr13_KI270839v1_alt	180306	77389	0.43	0	4
chr13_KI270843v1_alt	103832	52617	0.51	0	4
chr13_KI270841v1_alt	169134	75807	0.45	0	4
chr13_KI270838v1_alt	306913	186156	0.61	0	4
chr13_KI270842v1_alt	37287	13548	0.36	0	3
chr14_KI270844v1_alt	322166	214574	0.67	0	6
chr14_KI270847v1_alt	1511111	1012958	0.67	0	6
chr14_KI270845v1_alt	180703	109957	0.61	0	4
chr14_KI270846v1_alt	1351393	864835	0.64	0	5
chr15_KI270852v1_alt	478999	323909	0.68	0	8
chr15_KI270851v1_alt	263054	200551	0.76	0	7
chr15_KI270848v1_alt	327382	160604	0.49	0	4
chr15_GL383554v1_alt	296527	197833	0.67	0	5
chr15_KI270849v1_alt	244917	72926	0.30	0	3
chr15_GL383555v2_alt	388773	242555	0.62	0	6
chr15_KI270850v1_alt	430880	243086	0.56	0	6
chr16_KI270854v1_alt	134193	81597	0.61	0	3
chr16_KI270856v1_alt	63982	54524	0.85	0	3
chr16_KI270855v1_alt	232857	166688	0.72	0	5
chr16_KI270853v1_alt	2659700	2075055	0.78	0	7
chr16_GL383556v1_alt	192462	75292	0.39	0	4
chr16_GL383557v1_alt	89672	21088	0.24	0	2
chr17_GL383563v3_alt	375691	200464	0.53	0	5
chr17_KI270862v1_alt	391357	227914	0.58	0	4
chr17_KI270861v1_alt	196688	110541	0.56	0	4
chr17_KI270857v1_alt	2877074	1577948	0.55	0	7
chr17_JH159146v1_alt	278131	103835	0.37	0	4
chr17_JH159147v1_alt	70345	43201	0.61	0	4
chr17_GL383564v2_alt	133151	77137	0.58	0	4
chr17_GL000258v2_alt	1821992	118512	0.07	0	4
chr17_GL383565v1_alt	223995	135973	0.61	0	4
chr17_KI270858v1_alt	235827	59906	0.25	0	3
chr17_KI270859v1_alt	108763	44549	0.41	0	3
chr17_GL383566v1_alt	90219	26032	0.29	0	3
chr17_KI270860v1_alt	178921	71952	0.40	0	5
chr18_KI270864v1_alt	111737	104695	0.94	0	4
chr18_GL383567v1_alt	289831	253814	0.88	0	6
chr18_GL383570v1_alt	164789	97551	0.59	0	3
chr18_GL383571v1_alt	198278	73366	0.37	0	4
chr18_GL383568v1_alt	104552	64443	0.62	0	4
chr18_GL383569v1_alt	167950	40038	0.24	0	2
chr18_GL383572v1_alt	159547	77509	0.49	0	3
chr18_KI270863v1_alt	167999	142176	0.85	0	5
chr19_KI270868v1_alt	61734	22639	0.37	0	3
chr19_KI270865v1_alt	52969	63846	1.21	0	5
chr19_GL383573v1_alt	385657	158302	0.41	0	4
chr19_GL383575v2_alt	170222	62708	0.37	0	4
chr19_GL383576v1_alt	188024	191206	1.02	0	7
chr19_GL383574v1_alt	155864	103491	0.66	0	4
chr19_KI270866v1_alt	43156	29459	0.68	0	10
chr19_KI270867v1_alt	233762	103200	0.44	0	4
chr19_GL949746v1_alt	987716	199498	0.20	0	4
chr20_GL383577v2_alt	128386	91421	0.71	0	5
chr20_KI270869v1_alt	118774	57078	0.48	0	3
chr20_KI270871v1_alt	58661	41835	0.71	0	4
chr20_KI270870v1_alt	183433	113497	0.62	0	4
chr21_GL383578v2_alt	63917	59188	0.93	0	4
chr21_KI270874v1_alt	166743	106668	0.64	0	6
chr21_KI270873v1_alt	143900	107255	0.75	0	4
chr21_GL383579v2_alt	201197	139245	0.69	0	4
